gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,2625,1
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,1556,0
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,5331,0
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,1426,0
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,5321,0
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,2440,0
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,4844,0
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,499,0
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,646,1
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,5011,0
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,5026,0
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,4804,0
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,3119,1
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,3477,0
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,1851,1
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,5123,0
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,3476,1
0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,5960,0
1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,6227,0
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,2300,0
0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,6417,0
0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,5243,0
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5585,0
1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,4324,0
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,2406,0
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,2242,1
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,983,0
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,4718,0
0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,4055,0
0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,2361,0
1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,2286,0
1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,178,0
0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,2606,0
1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,6232,0
1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,3115,0
0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,772,0
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,5896,0
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,4181,0
0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,1567,0
1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,3795,0
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,2788,0
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,383,1
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,1733,0
0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,1597,1
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,5070,0
0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,2430,0
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,2338,0
0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,3869,0
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,2553,0
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,2350,0
1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,2476,0
1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,4104,0
1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,344,0
1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,5706,0
0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,6235,0
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,6327,0
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,2352,1
1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,5267,0
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,557,1
1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,2626,0
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,4067,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,26,0
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,11,0
1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,4692,0
0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,4372,0
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,6367,1
1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,508,0
0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,6289,0
0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,2353,0
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,4851,0
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,3009,0
1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5502,1
0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,4381,0
0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,4868,0
0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,4273,1
0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,4592,0
1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,998,0
0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,2658,0
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,2564,1
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,2205,0
1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,3813,0
0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,5613,0
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,552,0
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,938,1
0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,1275,0
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,262,0
1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,4374,0
0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,3805,1
1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,3439,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,17,0
1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,4887,0
0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,2785,0
0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,3211,1
1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,4510,0
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,95,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,408,1
0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,2744,0
0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,3503,0
0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,2888,0
1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,2719,0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,305,1
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,6009,0
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,1729,1
0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,5826,0
1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,5519,0
1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,3480,0
0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,6004,0
1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,255,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,157,1
1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,3657,0
1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,2577,0
0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,1730,0
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,1888,1
0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,6436,0
1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,5486,0
0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,555,0
0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,2697,0
0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,3557,0
1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,1433,0
1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,2501,0
1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,1007,0
0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,2077,0
0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,3308,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,616,0
1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,4871,0
0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,951,0
1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,3010,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,1072,1
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,5938,0
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,4153,1
0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,1195,0
1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,4656,0
0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,980,1
1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,2735,0
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5403,1
0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,1885,0
0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,2105,0
0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,2686,1
0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,1611,1
0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,3278,0
1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,2839,0
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,76,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,152,0
1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,1901,1
1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,4028,0
0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,2636,1
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,55,1
1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,2498,0
1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,411,0
0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,987,0
0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,3974,0
1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,4460,0
1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,1665,1
0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,3024,0
0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,6477,0
1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,2752,0
0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,3634,0
1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,1774,0
1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,6041,0
1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,6460,0
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,37,0
0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9,4175,0
0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,2638,0
1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,6317,0
1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,2521,0
1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,4320,0
0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,4178,0
1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,4996,0
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,391,1
0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,3662,1
1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,6086,0
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,422,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,62,0
1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,2655,0
0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20.0,1684,0
1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,3693,0
0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,4598,0
1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,45.25,4439,0
1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.6,4781,0
1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,84.2,5537,0
0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.0,1839,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,1057,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.75,3567,0
1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,26,0
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,779,1
0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.35,894,0
1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.6,2902,0
0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,4084,0
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,224,1
1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,89.9,4194,0
0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,4948,0
1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108.0,5732,0
1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,93.5,5264,0
1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,423,1
0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.25,3288,0
0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,25.15,1976,0
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,559,1
0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,29.6,1134,0
1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,73.15,2928,0
0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,2649,1
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,19.75,1098,0
0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,5976,0
1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,109.2,6424,0
0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,74.7,4470,0
0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,94.4,5888,0
0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,54.8,2021,0
1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,75.35,1075,0
1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,4074,0
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,2582,1
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,173,1
1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,99.0,5049,0
0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,93.5,5204,0
0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,660,1
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,116,1
1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,4141,0
1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,19.85,821,0
0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,59.55,4947,0
0,0,1,1,61,1,2,1,2,2,2,2,2,2,2,0,1,115.1,6207,0
1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,5746,0
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,401,1
0,1,1,0,29,0,1,0,2,0,2,0,0,2,0,1,2,45.0,2804,0
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,606,1
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,3011,1
1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,89.85,5370,0
0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,49.85,3232,0
0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,113.3,5420,0
0,0,1,1,61,1,2,0,2,2,2,2,2,2,2,0,3,88.1,5616,0
1,0,0,0,50,1,2,2,1,1,1,1,1,1,2,0,0,24.9,2756,0
0,1,0,0,19,1,0,1,2,2,0,2,2,2,0,1,3,105.0,3716,0
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,2621,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,24.25,3450,0
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,3225,1
1,0,1,0,57,1,0,0,2,2,0,2,0,0,2,1,2,59.75,4605,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,55,1
1,1,1,0,20,1,2,1,0,2,0,2,2,2,0,0,2,107.05,3826,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,308,1
1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,1378,1
0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,5668,1
1,1,1,0,21,1,0,0,2,2,0,0,0,2,0,1,0,64.95,2977,0
1,0,0,0,14,0,1,0,0,0,2,2,2,2,0,1,2,55.0,2090,0
0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,50.55,986,0
0,0,0,0,6,1,0,0,2,2,0,0,0,0,0,0,3,55.15,1201,0
0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,2,51.2,1602,0
0,0,0,1,1,1,2,2,1,1,1,1,1,1,0,0,3,25.4,65,0
0,0,0,0,68,1,2,0,2,0,0,0,0,0,0,0,3,54.45,4733,0
1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,3505,1
0,0,0,0,22,1,2,1,0,0,0,0,0,0,1,1,1,76.0,3510,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,2,44.35,2351,0
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,296,1
1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,1808,1
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,1463,1
1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,3426,1
1,0,0,0,35,1,0,0,2,2,2,0,0,0,1,0,3,61.2,3730,0
1,0,1,1,23,1,0,1,0,2,2,2,0,0,1,0,3,86.8,3668,0
0,1,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,89.35,1738,0
0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.7,898,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.25,27,0
0,0,1,1,71,1,0,1,0,0,2,0,0,0,2,0,2,76.05,5575,0
1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.8,4599,0
1,0,1,1,40,1,2,0,0,0,2,0,2,2,0,1,2,74.55,4359,0
0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,332,1
1,0,0,0,23,1,0,0,0,0,0,0,2,2,1,1,0,64.9,3221,0
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1369,1
1,0,0,0,4,1,0,1,0,0,2,2,0,2,0,1,2,90.4,1286,0
0,0,1,1,68,0,1,0,0,2,2,2,2,2,2,0,1,60.3,4951,0
1,0,0,1,38,1,2,1,0,2,0,0,0,0,0,1,3,81.85,4440,0
1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,24.8,2805,0
1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,3928,1
1,0,1,1,29,1,0,0,0,0,2,2,2,2,2,0,3,75.55,3754,0
1,1,1,1,38,1,2,1,0,2,0,0,2,2,0,0,2,101.15,4756,0
1,0,0,1,48,1,2,0,2,0,2,0,2,2,1,1,1,78.75,4730,0
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,0,19.25,8,0
0,0,0,0,22,1,0,1,2,0,0,2,0,2,0,1,2,89.05,3619,0
0,0,0,0,43,1,2,1,2,2,2,2,2,2,2,0,1,115.05,5344,0
0,1,1,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.35,1253,0
1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,1415,1
1,0,1,1,51,1,2,1,2,2,0,2,2,2,1,0,1,110.05,5693,0
1,0,0,0,71,1,0,2,1,1,1,1,1,1,2,1,1,19.9,2996,0
0,0,1,1,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3,4394,1
1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15,3877,1
1,0,1,0,35,1,2,1,0,0,0,2,2,0,0,1,1,91.5,4495,0
0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,82.45,5078,1
